pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 666	Average Score: -289.83
Episode 667	Average Score: -289.85
Episode 668	Average Score: -289.89
Episode 669	Average Score: -289.83
Episode 670	Average Score: -289.62
Episode 671	Average Score: -289.62
Episode 672	Average Score: -289.65
Episode 673	Average Score: -289.66
Episode 674	Average Score: -289.71
Episode 675	Average Score: -289.68
Episode 676	Average Score: -289.67
Episode 677	Average Score: -289.60
Episode 678	Average Score: -289.37
Episode 679	Average Score: -289.31
Episode 680	Average Score: -289.29
Episode 681	Average Score: -289.36
Episode 682	Average Score: -289.41
Episode 683	Average Score: -289.25
Episode 684	Average Score: -289.25
Episode 685	Average Score: -289.37
Episode 686	Average Score: -289.35
Episode 687	Average Score: -289.34
Episode 688	Average Score: -289.38
Episode 689	Average Score: -289.42
Episode 690	Average Score: -289.37
Episode 691	Average Score: -289.34
Episode 692	Average Score: -289.30
Episode 693	Average Score: -289.21
Episode 694	Average Score: -289.13
Episode 695	Average Score: -288.84
Episode 696	Average Score: -288.55
Episode 697	Average Score: -288.43
Episode 698	Average Score: -288.43
Episode 699	Average Score: -288.42
Episode 700	Average Score: -288.47
Episode 700	Average Score: -288.47

Episode 701	Average Score: -288.48
Episode 702	Average Score: -288.47
Episode 703	Average Score: -288.41
Episode 704	Average Score: -288.38
Episode 705	Average Score: -280.58
Episode 706	Average Score: -280.71
Episode 707	Average Score: -280.68
Episode 708	Average Score: -280.89
Episode 709	Average Score: -281.15
Episode 710	Average Score: -281.19
Episode 711	Average Score: -281.17
Episode 712	Average Score: -281.16
Episode 713	Average Score: -281.21
Episode 714	Average Score: -281.39
Episode 715	Average Score: -281.20
Episode 716	Average Score: -281.21
Episode 717	Average Score: -281.17
Episode 718	Average Score: -281.20
Episode 719	Average Score: -281.20
Episode 720	Average Score: -281.23
Episode 721	Average Score: -281.23
Episode 722	Average Score: -281.23
Episode 723	Average Score: -281.37
Episode 724	Average Score: -281.19
Episode 725	Average Score: -280.96
Episode 726	Average Score: -280.96
Episode 727	Average Score: -281.05
Episode 728	Average Score: -281.05
Episode 729	Average Score: -281.02
Episode 730	Average Score: -280.92
Episode 731	Average Score: -281.00
Episode 732	Average Score: -281.02
Episode 733	Average Score: -280.94
Episode 734	Average Score: -281.00
Episode 735	Average Score: -280.97
Episode 736	Average Score: -280.96
Episode 737	Average Score: -280.97
Episode 738	Average Score: -280.97
Episode 739	Average Score: -281.00
Episode 740	Average Score: -280.87
Episode 741	Average Score: -288.67
Episode 742	Average Score: -288.66
Episode 743	Average Score: -288.67
Episode 744	Average Score: -296.47
Episode 745	Average Score: -296.27
Episode 746	Average Score: -296.51
Episode 747	Average Score: -296.77
Episode 748	Average Score: -296.75
Episode 749	Average Score: -296.82
Episode 750	Average Score: -296.81
Episode 751	Average Score: -296.81
Episode 752	Average Score: -296.79
Episode 753	Average Score: -296.86
Episode 754	Average Score: -296.96
Episode 755	Average Score: -296.97
Episode 756	Average Score: -296.96
Episode 757	Average Score: -296.72
Episode 758	Average Score: -296.54
Episode 759	Average Score: -296.55
Episode 760	Average Score: -296.54
Episode 761	Average Score: -296.71
Episode 762	Average Score: -296.71
Episode 763	Average Score: -296.66
Episode 764	Average Score: -296.62
Episode 765	Average Score: -296.83
Episode 766	Average Score: -296.78
Episode 767	Average Score: -296.85
Episode 768	Average Score: -297.10
Episode 769	Average Score: -297.39
Episode 770	Average Score: -297.39
Episode 771	Average Score: -297.37
Episode 772	Average Score: -297.47
Episode 773	Average Score: -297.47
Episode 774	Average Score: -297.43
Episode 775	Average Score: -297.43
Episode 776	Average Score: -297.52
Episode 777	Average Score: -297.52
Episode 778	Average Score: -297.75
Episode 779	Average Score: -297.75
Episode 780	Average Score: -297.77
Episode 781	Average Score: -297.66
Episode 782	Average Score: -297.63
Episode 783	Average Score: -297.64
Episode 784	Average Score: -297.76
Episode 785	Average Score: -297.68
Episode 786	Average Score: -297.69
Episode 787	Average Score: -297.68
Episode 788	Average Score: -297.59
Episode 789	Average Score: -297.63
Episode 790	Average Score: -297.66
Episode 791	Average Score: -297.66
Episode 792	Average Score: -297.69
Episode 793	Average Score: -297.70
Episode 794	Average Score: -297.81
Episode 795	Average Score: -297.82
Episode 796	Average Score: -297.92
Episode 797	Average Score: -297.94
Episode 798	Average Score: -297.94
Episode 799	Average Score: -297.93
Episode 800	Average Score: -297.85
Episode 800	Average Score: -297.85

Episode 801	Average Score: -297.84
Episode 802	Average Score: -297.90
Episode 803	Average Score: -297.89
Episode 804	Average Score: -297.90
Episode 805	Average Score: -305.63
Episode 806	Average Score: -305.51
Episode 807	Average Score: -305.49
Episode 808	Average Score: -305.30
Episode 809	Average Score: -305.09
Episode 810	Average Score: -305.06
Episode 811	Average Score: -305.34
Episode 812	Average Score: -305.36
Episode 813	Average Score: -305.42
Episode 814	Average Score: -305.22
Episode 815	Average Score: -305.34
Episode 816	Average Score: -305.32
Episode 817	Average Score: -305.22
Episode 818	Average Score: -305.26
Episode 819	Average Score: -305.28
Episode 820	Average Score: -305.22
Episode 821	Average Score: -305.30
Episode 822	Average Score: -305.32
Episode 823	Average Score: -305.16
Episode 824	Average Score: -305.08
Episode 825	Average Score: -305.11
Episode 826	Average Score: -305.15
Episode 827	Average Score: -305.18
Episode 828	Average Score: -305.28
Episode 829	Average Score: -305.33
Episode 830	Average Score: -305.36
Episode 831	Average Score: -305.24
Episode 832	Average Score: -305.28
Episode 833	Average Score: -305.47
Episode 834	Average Score: -305.57
Episode 835	Average Score: -305.59
Episode 836	Average Score: -305.59
Episode 837	Average Score: -305.59
Episode 838	Average Score: -305.67
Episode 839	Average Score: -305.69
Episode 840	Average Score: -305.68
Episode 841	Average Score: -305.68
Episode 842	Average Score: -305.68
Episode 843	Average Score: -305.71
Episode 844	Average Score: -305.98
Episode 845	Average Score: -306.01
